timestamp,v_enc,v_ave,v_comp,v_acc,v_setp,yawrate,yawrate_traj,yawrate_setp,yaw,yaw_traj,yaw_setp,beta,beta_setp,beta_dot,beta_dot_setp,x_cor,y_cor,x_cor_setp,y_cor_setp,a_x,a_y,a_setp,d_la,d_l,d_r,d_ra,wall_la,wall_l,wall_r,wall_ra,v_p,v_i,v_d,duty_v,yawrate_p,yawrate_i,yawrate_d,duty_yaw,yaw_p,yaw_i,wall_p,wall_i,wall_d,diag_p,voltage,turn_type,on_wall_center_time,not_corner_l_elapsed_time,not_corner_r_elapsed_time,in_detect_edge_area,detected_edge,3section_ahead_dist
0.009000, 0.000378, 0.000076, 0.000665, 0.000378, 0.008000, 1.147090, 0.000000, -0.022964, -0.002295,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.383885, 0.500000, 0.384122,1.971686, -2.841477, 1.000000, 0.207284, 0.046033, 0.047305, 0.169870, 44.000000, 898.000000, 593.000000,60.000000, 0.010302, 0.000358, 0.003331, 0.013991, -0.001021, -0.000038, -0.000000, -0.001059, -0.001147,-0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 3.912088, 2.000000, 13.595864, 22.119473, 22.119473,0.000000, 0.000000, 0.235450
0.019000, 0.010199, 0.004193, 0.015144, 0.007407, 0.018000, 7.657090, 0.000000, -0.430745, -0.043058,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.500000, 0.384241, 0.500000, 0.385400,3.517449, -0.148355, 1.000000, 0.209241, 0.045845, 0.047610, 0.165949, 43.000000, 907.000000, 583.000000,64.000000, 0.017949, 0.001557, 0.004182, 0.071089, -0.007058, -0.000891, -0.000000, -0.007949, -0.021529,-0.000008, 0.000000, 0.000000, 0.000000, 0.000000, 3.908791, 2.000000, 13.605868, 22.129467, 22.129467,0.000000, 0.000000, 0.235418
0.029000, 0.028708, 0.019567, 0.030523, 0.029318, 0.028000, 6.747090, 0.000000, -1.225020, -0.122397,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499997, 0.386210, 0.500000, 0.387789,3.640680, -0.004786, 1.000000, 0.196732, 0.045928, 0.048274, 0.174163, 50.000000, 903.000000, 562.000000,56.000000, 0.010963, 0.002726, 0.000178, 0.062267, -0.006957, -0.002413, -0.000000, -0.009370, -0.061198,-0.000053, 0.000000, 0.000000, 0.000000, 0.000000, 3.896703, 2.000000, 13.615872, 22.139462, 22.139462,0.000000, 0.000000, 0.235241
0.039000, 0.047596, 0.039587, 0.045771, 0.041685, 0.038000, -4.032910, 0.000000, -1.427527, -0.142505,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499987, 0.390399, 0.500000, 0.391289,1.816152, -4.019942, 1.000000, 0.198363, 0.045949, 0.048803, 0.173051, 49.000000, 902.000000, 546.000000,57.000000, -0.002064, 0.002999, -0.003874, 0.046461, 0.002274, -0.002824, 0.000000, -0.000551, -0.071253,-0.000124, 0.000000, 0.000000, 0.000000, 0.000000, 3.891209, 2.000000, 13.625876, 22.149456, 22.149456,0.000000, 0.000000, 0.234864
0.049000, 0.054773, 0.051826, 0.050217, 0.038465, 0.048000, -2.282910, 0.000000, -0.376845, -0.037347,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499976, 0.396077, 0.500000, 0.395900,2.543571, -4.504488, 1.000000, 0.196732, 0.046161, 0.049007, 0.174163, 50.000000, 892.000000, 540.000000,56.000000, -0.004974, 0.002619, -0.003017, 0.045027, 0.001663, -0.001176, 0.000000, 0.000487, -0.019356,-0.000175, 0.000000, 0.000000, 0.000000, 0.000000, 3.891209, 2.000000, 13.635880, 22.159451, 22.159451,0.000000, 0.000000, 0.234353
0.059000, 0.060061, 0.057492, 0.064164, 0.051808, 0.058000, 6.817090, 0.000000, -0.636020, -0.063220,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499972, 0.402407, 0.500000, 0.401622,2.902494, -3.346362, 1.000000, 0.203552, 0.046225, 0.049674, 0.173051, 46.000000, 889.000000, 521.000000,57.000000, 0.000660, 0.002465, -0.000049, 0.054476, -0.006504, -0.001865, -0.000000, -0.008369, -0.036347,-0.000219, 0.000000, 0.000000, 0.000000, 0.000000, 3.893407, 2.000000, 13.645885, 22.169445, 22.169445,0.000000, 0.000000, 0.233783
0.069000, 0.069882, 0.066029, 0.071965, 0.063679, 0.068000, 6.957089, 0.000000, -0.990405, -0.098573,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499962, 0.409634, 0.500000, 0.408456,0.562313, -7.953743, 1.000000, 0.203552, 0.046332, 0.050490, 0.173051, 46.000000, 884.000000, 499.000000,57.000000, 0.002562, 0.002630, 0.000489, 0.058081, -0.006935, -0.002634, -0.000000, -0.009569, -0.065087,-0.000308, 0.000000, 0.000000, 0.000000, 0.000000, 3.890110, 2.000000, 13.655889, 22.179440, 22.179440,0.000000, 0.000000, 0.233133
0.079000, 0.081592, 0.076417, 0.084201, 0.079246, 0.078000, 8.007090, 0.000000, -0.893299, -0.088765,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499947, 0.417995, 0.500000, 0.416400,2.112862, -4.390830, 1.000000, 0.203552, 0.046550, 0.051438, 0.170906, 46.000000, 874.000000, 475.000000,59.000000, 0.002057, 0.002831, 0.000087, 0.058375, -0.007767, -0.002652, -0.000000, -0.010419, -0.067832,-0.000432, 0.000000, 0.000000, 0.000000, 0.000000, 3.883517, 2.000000, 13.665893, 22.189434, 22.189434,0.000000, 0.000000, 0.232380
0.089000, 0.095191, 0.089336, 0.096624, 0.093822, 0.088000, -3.542910, 0.000000, -1.402164, -0.139527,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499928, 0.427770, 0.500000, 0.425456,3.230311, -4.543970, 1.000000, 0.201771, 0.046929, 0.052676, 0.176470, 47.000000, 857.000000, 446.000000,54.000000, -0.001737, 0.002829, -0.001121, 0.054372, 0.001868, -0.003554, 0.000000, -0.001686, -0.124648,-0.000616, 0.000000, 0.000000, 0.000000, 0.000000, 3.884615, 2.000000, 13.675897, 22.199429, 22.199429,0.000000, 0.000000, 0.231501
0.099000, 0.107279, 0.101839, 0.109717, 0.109576, 0.098000, 10.667089, 0.000000, -1.641807, -0.163351,90.000008, 90.000008, 0.000000, 0.000000, 0.000000, 0.000000, 0.499901, 0.438951, 0.500000, 0.435622,2.321038, -5.064409, 1.000000, 0.196732, 0.047364, 0.054327, 0.180157, 50.000000, 838.000000, 411.000000,51.000000, -0.004991, 0.002558, -0.001675, 0.051292, -0.010742, -0.004466, -0.000000, -0.015207, -0.166356,-0.000845, 0.000000, 0.000000, 0.000000, 0.000000, 3.876923, 2.000000, 13.685901, 22.209423, 22.209423,0.000000, 0.000000, 0.230494
